"id","name"
942,"Hodges-Mace"
943,"Just Works"
944,"MMA Marketlink"
945,"The Olofson Group"
946,"Bridgeway Health Services (Centene)"
947,"My Insurance Solutions"
948,"CareValet"
950,"Konomos Group"
951,"Renew.com"
952,"Mylo"
953,"Empyrean"
954,"Louisiana Healthcare Connections - Centene LA"
955,"Magnolia Health Plan - Centene MS"
956,"Disruptive Insurance Products Corporation"
957,"Truven"
958,"IBM"
959,"Buckeye Health Plan (Centene OH)"
960,"Markit Medical"
961,"Sunfire Matrix"
962,"Cognizant"
963,"Plan Source"
964,"UHA"
965,"MHS Indiana (Centene IN)"
966,"Health Plan Services"
967,"Health Resources Inc."
968,"LISI"
969,"Patrick's Health Plan"
970,"American Hospital Directory"
971,"Test Plan"
972,"Shift Health Advisory"
974,"Surf Health"
975,"CaliforniaChoice"
976,"McLaren Health Plan"
977,"Centene PA (PA Health and Wellness)"
978,"Candor Insurance"
979,"Healthcare Data Management"
980,"Coordinated Care"
981,"AmeriBen"
982,"Central States Funds"
983,"Rogers Benefit Group"
984,"Celticare Health - Centene MA"
985,"Granite State Health Plan - Centene NH"
986,"Illinicare - Centene IL"
987,"Repisodic"
988,"Employers Dental Service"
989,"Health Markets"
990,"Humana Military"
991,"NTT Data"
992,"Renaissance Electronic Services"
993,"Baycare Health"
994,"CarePayment"
995,"Aaron Kaufman"
996,"Coventry Worker's Comp and Auto"
997,"Connexion"
998,"Medtronic"
999,"BridgeSpan Health"
1000,"Health Plan of the Upper Ohio Valley"
1001,"Care Oregon"
1002,"Community Health Plan of Washington"
1003,"MetroPlus Health Plan"
1004,"CarePlus Health Plans, Inc."
1005,"Clover Health"
1006,"Friday Health Plans"
1007,"Vibra Health"
1008,"Nevada Public Employees Benefit Fund"
1009,"National General Insurance"
1010,"Symphony Health"
1011,"DRG - Decision Resources Group"
1012,"Fox/Everett"
1013,"Quantum-Health"
1014,"Ernst&Young"
1015,"Newport Dental"
1016,"Bright Health Plan"
1017,"MyMedicareBot"
1018,"Beacon"
1019,"First Medical PR"
1020,"Menonita"
1021,"Molina PR"
1022,"MMM"
1023,"CarePartners of CT"
1024,"Meritain Health"
1025,"Allways Health Partners"
1026,"WatchTower Benefits, LLC"
1027,"Senior Whole Health"
1028,"Level Benefits, Inc."
1029,"Solv Health"
1030,"UMR"
1031,"HealthSCOPE Benefits, Inc."
1032,"e-Telequote Insurance"
1033,"Yaro"
1034,"Tranzact"
1035,"HealthPartners UnityPoint Health"
1036,"Devoted Health"
1037,"Altus Dental"
1038,"Benecare"
1039,"Brown & Brown - Detroit"
1040,"Companion Life"
1041,"Constant Analytics"
1042,"Delta Dental of Arkansas"
1044,"Delta Dental of Massachusetts"
1045,"Delta Dental of Minnesota"
1046,"Delta Dental of Tennessee"
1047,"Delta Dental of Washington"
1048,"Dental Actuarial Analytics (Ruark)"
1049,"Envolve Dental"
1050,"Familia Dental"
1051,"Heartland Dental"
1052,"Hylant Group"
1053,"Kansas City Life"
1054,"OpenCare"
1055,"Solstice Benefits"
1056,"Starmount"
1057,"USAble Life"
1058,"CHP Group"
1059,"Davis/Superior Vision (Versant Health)"
1060,"Essilor USA"
1061,"EyeMed"
1062,"MESVision"
1063,"National Vision Administrators"
1064,"Talkspace"
1065,"TotalECP"
1066,"Vision Benefits of America (VBA)"
1068,"WindRose Health Investors"
1069,"Right Choice"
1070,"Alignment Health Plan"
1071,"AdvantageMD"
1073,"Brand New Day"
1074,"HandsFree Health"
1075,"Health Net Federal Services, LLC"
1076,"PrimeTime Health Plan"
1077,"Paramount Healthcare, Inc."
1079,"Centivo"
1080,"KelseyCare Advantage"
1081,"HealthComp"
1082,"Spring Venture Group"
1083,"NCQA"
1084,"Optima Health"
1085,"EMI Health"
1086,"Providence St. Joseph Health Network"
1087,"SilverScript Insurance Company"
1088,"ComPsych"
1089,"Covenant Consulting"
1090,"Search&Save"
1091,"Ewings, LLC"
1092,"Allegiance"
1093,"Encore Connect"
1094,"Group Health Cooperative of South Central WI"
1095,"HealthJoy"
1096,"Golden Outlook Insurance Services, Inc."
1097,"Secova"
1098,"DrChrono"
1099,"GreatData"
1100,"EnterMedicare"
1101,"Senior Care Benefits"
1102,"MedicareBenefits.com"
1103,"BAS Health"
1104,"Health Partners Plans"
1105,"NeuGen"
1106,"Delta Vision"
1107,"Aspire"
1108,"Which Docs"
1109,"Benefytt"
1110,"Five Lakes"
1111,"HPOne"
1112,"Benefit & Risk Management Services"
1113,"Community Health Options"
1114,"SUPPLIER - WebX Team"
1115,"Cigna Vision"
1116,"Sidecar Health"
1117,"QuotIt (National General)"
1118,"NAMCI Alabama Premier Network"
1119,"Clever Care"
1120,"Community Health"
1121,"Zing Health"
1122,"Global Health"
1123,"Messer Financial Group"
1124,"AccessHope"
1125,"Smylen"
1126,"Prime Therapeutics"
1127,"IngenioRx"
1128,"Assurance"
1129,"HealthNow - National"
1130,"Advise Insurance"
1131,"Peoples Health"
1132,"Banner Health"
1133,"MarPai Health"
1134,"FrontPath"
1135,"CVS Pharmacy"
1136,"Ensign"
1137,"Chapter Medicare"
1138,"RightwayRX"
1139,"Dr. Zeus Inc."
1141,"Alma Health"
1142,"Point32 Health Services"
1143,"Florida Dental Benefits"
1144,"NCPDP"
1145,"St. Luke’s Health Partners"
1146,"Denver Health"
1147,"EnlivenHealth"
1148,"Elite"
1149,"Enlace Health"
1150,"CSG Actuarial"
1151,"Clear Spring Health"
1152,"MedBen"
1153,"Senior Choice Plans"
1154,"AGA"
1155,"Navitus"
1156,"KeyStone"
1157,"SIHO/MyTruAdvantage"
1158,"BMC HealthNet Plan"
1159,"Wisconsin Health Fund"
1160,"Specialty Dental Brands"
1161,"Highmark - National"
1162,"Parkview Health"
1163,"IMA Financial Group"
1164,"WebTPA"
1165,"Mass General Brigham Health"
1166,"Health Payment Systems (HPS)"
